type,TrialNo,title,content,trialText,trialTextPos,stim1,stim2,stim3,stimFormat,button1,button2,button3,button4,button5,button6,button7,button8,button9,button10,button11,random,randomBlock,key,feedbackCorrect,feedbackIncorrect,game,stim_type,offer
test,6,na,na,<i>How likely do you think is this person to reciprocate half of the share?,above,AF06NES,,,.jpg,0,10,20,30,40,50,60,70,80,90,100,1,1,,,,trust,human,
test,7,na,na,<i>How likely do you think is this person to reciprocate half of the share?,above,AF07NES,,,.jpg,0,10,20,30,40,50,60,70,80,90,100,1,1,,,,trust,human,
test,8,na,na,<i>How likely do you think is this person to reciprocate half of the share?,above,AM01NES,,,.jpg,0,10,20,30,40,50,60,70,80,90,100,1,1,,,,trust,human,
test,9,na,na,<i>How likely do you think is this person to reciprocate half of the share?,above,AM02NES,,,.jpg,0,10,20,30,40,50,60,70,80,90,100,1,1,,,,trust,human,
test,10,na,na,<i>How likely do you think is this person to reciprocate half of the share?,above,AM03NES,,,.jpg,0,10,20,30,40,50,60,70,80,90,100,1,1,,,,trust,human,
test,11,na,na,<i>How likely do you think is this person to reciprocate half of the share?,above,AM04NES,,,.jpg,0,10,20,30,40,50,60,70,80,90,100,1,1,,,,trust,human,
test,12,na,na,<i>How likely do you think is this person to reciprocate half of the share?,above,AM05NES,,,.jpg,0,10,20,30,40,50,60,70,80,90,100,1,1,,,,trust,human,
test,13,na,na,<i>How likely do you think is this person to reciprocate half of the share?,above,AM06NES,,,.jpg,0,10,20,30,40,50,60,70,80,90,100,1,1,,,,trust,human,
test,14,na,na,<i>How likely do you think is this brand to reciprocate half of the share?,above,AB01,,,.jpg,0,10,20,30,40,50,60,70,80,90,100,1,1,,,,trust,brand,
test,15,na,na,<i>How likely do you think is this brand to reciprocate half of the share?,above,AB02,,,.jpg,0,10,20,30,40,50,60,70,80,90,100,1,1,,,,trust,brand,
test,16,na,na,<i>How likely do you think is this brand to reciprocate half of the share?,above,AB03,,,.jpg,0,10,20,30,40,50,60,70,80,90,100,1,1,,,,trust,brand,
test,17,na,na,<i>How likely do you think is this brand to reciprocate half of the share?,above,AB04,,,.jpg,0,10,20,30,40,50,60,70,80,90,100,1,1,,,,trust,brand,
test,18,na,na,<i>How likely do you think is this brand to reciprocate half of the share?,above,AB05,,,.jpg,0,10,20,30,40,50,60,70,80,90,100,1,1,,,,trust,brand,
test,19,na,na,<i>How likely do you think is this brand to reciprocate half of the share?,above,AB06,,,.jpg,0,10,20,30,40,50,60,70,80,90,100,1,1,,,,trust,brand,
test,20,na,na,<i>How likely do you think is this brand to reciprocate half of the share?,above,AB07,,,.jpg,0,10,20,30,40,50,60,70,80,90,100,1,1,,,,trust,brand,
test,21,na,na,<i>How likely do you think is this brand to reciprocate half of the share?,above,AB08,,,.jpg,0,10,20,30,40,50,60,70,80,90,100,1,1,,,,trust,brand,
test,22,na,na,<i>How likely do you think is this brand to reciprocate half of the share?,above,AB09,,,.jpg,0,10,20,30,40,50,60,70,80,90,100,1,1,,,,trust,brand,
test,23,na,na,<i>How likely do you think is this brand to reciprocate half of the share?,above,AB10,,,.jpg,0,10,20,30,40,50,60,70,80,90,100,1,1,,,,trust,brand,
test,24,na,na,<i>How likely do you think is this brand to reciprocate half of the share?,above,AB11,,,.jpg,0,10,20,30,40,50,60,70,80,90,100,1,1,,,,trust,brand,
test,25,na,na,<i>How likely do you think is this brand to reciprocate half of the share?,above,AB12,,,.jpg,0,10,20,30,40,50,60,70,80,90,100,1,1,,,,trust,brand,
instructions,na,Take a Break !,"Well done! You completed the first part of this block. Take a few seconds break and when you are ready to continue, press the button below. ",,na,na,na,,na,Continue to the second block,na,na,na,na,na,na,na,na,na,na,na,na,,,,na,,
test,26,na,na,<i>How likely do you think is this person to reciprocate half of the share?,above,AF08NES,,,.jpg,0,10,20,30,40,50,60,70,80,90,100,1,1,,,,trust,human,
test,27,na,na,<i>How likely do you think is this person to reciprocate half of the share?,above,AF09NES,,,.jpg,0,10,20,30,40,50,60,70,80,90,100,1,1,,,,trust,human,
test,28,na,na,<i>How likely do you think is this person to reciprocate half of the share?,above,AF10NES,,,.jpg,0,10,20,30,40,50,60,70,80,90,100,1,1,,,,trust,human,
test,29,na,na,<i>How likely do you think is this person to reciprocate half of the share?,above,AF11NES,,,.jpg,0,10,20,30,40,50,60,70,80,90,100,1,1,,,,trust,human,
test,30,na,na,<i>How likely do you think is this person to reciprocate half of the share?,above,AF12NES,,,.jpg,0,10,20,30,40,50,60,70,80,90,100,1,1,,,,trust,human,
test,31,na,na,<i>How likely do you think is this person to reciprocate half of the share?,above,AF13NES,,,.jpg,0,10,20,30,40,50,60,70,80,90,100,1,1,,,,trust,human,
test,32,na,na,<i>How likely do you think is this person to reciprocate half of the share?,above,AM07NES,,,.jpg,0,10,20,30,40,50,60,70,80,90,100,1,1,,,,trust,human,
test,33,na,na,<i>How likely do you think is this person to reciprocate half of the share?,above,AM08NES,,,.jpg,0,10,20,30,40,50,60,70,80,90,100,1,1,,,,trust,human,
test,34,na,na,<i>How likely do you think is this person to reciprocate half of the share?,above,AM09NES,,,.jpg,0,10,20,30,40,50,60,70,80,90,100,1,1,,,,trust,human,
test,35,na,na,<i>How likely do you think is this person to reciprocate half of the share?,above,AM10NES,,,.jpg,0,10,20,30,40,50,60,70,80,90,100,1,1,,,,trust,human,
test,36,na,na,<i>How likely do you think is this person to reciprocate half of the share?,above,AM11NES,,,.jpg,0,10,20,30,40,50,60,70,80,90,100,1,1,,,,trust,human,
test,37,na,na,<i>How likely do you think is this person to reciprocate half of the share?,above,AM12NES,,,.jpg,0,10,20,30,40,50,60,70,80,90,100,1,1,,,,trust,human,
test,38,na,na,<i>How likely do you think is this brand to reciprocate half of the share?,above,AB13,,,.jpg,0,10,20,30,40,50,60,70,80,90,100,1,1,,,,trust,brand,
test,39,na,na,<i>How likely do you think is this brand to reciprocate half of the share?,above,AB14,,,.jpg,0,10,20,30,40,50,60,70,80,90,100,1,1,,,,trust,brand,
test,40,na,na,<i>How likely do you think is this brand to reciprocate half of the share?,above,AB15,,,.jpg,0,10,20,30,40,50,60,70,80,90,100,1,1,,,,trust,brand,
test,41,na,na,<i>How likely do you think is this brand to reciprocate half of the share?,above,AB16,,,.jpg,0,10,20,30,40,50,60,70,80,90,100,1,1,,,,trust,brand,
test,42,na,na,<i>How likely do you think is this brand to reciprocate half of the share?,above,AB17,,,.jpg,0,10,20,30,40,50,60,70,80,90,100,1,1,,,,trust,brand,
test,43,na,na,<i>How likely do you think is this brand to reciprocate half of the share?,above,AB18,,,.jpg,0,10,20,30,40,50,60,70,80,90,100,1,1,,,,trust,brand,
test,44,na,na,<i>How likely do you think is this brand to reciprocate half of the share?,above,AB19,,,.jpg,0,10,20,30,40,50,60,70,80,90,100,1,1,,,,trust,brand,
test,45,na,na,<i>How likely do you think is this brand to reciprocate half of the share?,above,AB20,,,.jpg,0,10,20,30,40,50,60,70,80,90,100,1,1,,,,trust,brand,
test,46,,,<i>How likely do you think is this brand to reciprocate half of the share?,above,AB21,,,.jpg,0,10,20,30,40,50,60,70,80,90,100,1,1,,,,trust,brand,
test,47,,na,<i>How likely do you think is this brand to reciprocate half of the share?,above,AB22,,,.jpg,0,10,20,30,40,50,60,70,80,90,100,1,1,,,,trust,brand,
test,48,,na,<i>How likely do you think is this brand to reciprocate half of the share?,above,AB23,,,.jpg,0,10,20,30,40,50,60,70,80,90,100,1,1,,,,trust,brand,
test,49,,na,<i>How likely do you think is this brand to reciprocate half of the share?,above,AB24,,,.jpg,0,10,20,30,40,50,60,70,80,90,100,1,1,,,,trust,brand,
test,50,,na,<i>How likely do you think is this brand to reciprocate half of the share?,above,AB25,,,.jpg,0,10,20,30,40,50,60,70,80,90,100,1,1,,,,trust,brand,
instructions,,Part 1 Completed,<br><br>Congratulations for completing the first block. You will now be given instructions for the second part of the experiment. Please continue when you are ready to do so.,,,,,,,Continue to part 2,,,,,,,,,,,na,na,,,,,,
instructions,na,Welcome to the second part of the study: Brand Perception in the Ultimatum Game,"<b><i>Introduction</b></i><br>This is the second and last part of the study “Brand Perception in the Ultimatum Game”. Thank you very much once again for your participation, it is greatly appreciated.  <b><i><br><br>Participant’s rights</b></i><br>Once again I would like to remind you that your participation in this study is completely voluntary and you are free to withdraw at any time. Please make sure you read through the instructions carefully in order to understand the task you are required to perform. This block will take approximately 10 minutes and once finished, you will be given a “completion code”. That code will be used to enter you in a raffle to win a 20£ Amazon voucher. Please send the code to the researcher’s email address shown at the end of the experiment. ",na,na,na,,,na,Continue,na,,,,,,,,,,na,na,na,,,,,
instructions,na,The Current Experiment,"In this part of the study, you will be required to play the “Ultimatum Game”. <b><i><br><br>What is the Ultimatum Game?</b></i><br>The Ultimatum Game is  a classic economic-bargaining paradigm which involves two players (the responder and the proposer)  who have to split a certain amount of money between themselves. Specifically, the Proposer is attributed a certain amount of money and must decide the amount to give to the other agent, the Responder. Aware of the total offer and the amount suggested by the Proposer, the Responder will decide to either accept or reject the offer. Accepting the offer leads to a split of the sum accordingly to the Proposer suggestion. On the other hand, rejecting it will leave both the agents with nothing. <br>For the current study, you will always play the role of the Responder, while a brand, a person or a computer-generated algorithm will alternate in the role of the Proposer. Before performing the actual experiment, you will have time to practice with a mock trial in order to ensure you have fully understood the instructions. 
",na,na,na,,,na,Continue,na,,,,,,,,,,na,,na,,,,,
practice,,na,na,"Here is an example of the different Proposers you will interact with: in the order they appear: a person, a brand or a computer. ",,AF03NES,AB05,AC01,.jpg,Begin Practice,na,,,,,,,,,,na,,na,,,,,
practice,na,na,na,<i>This person says: <br><br> <b>£60</b> for her <br><b>£40</b> for you,right,AF01NES,,,.jpg,Reject,Accept,,,,,,,,,,1,1,1,You have accepted the offer! The money is split as proposed by the Proposer,You have rejected the offer! You both get £0.,,,
practice,na,na,na,<i>This person says: <br><br> <b>£90</b> for her <br><b>£10</b> for you,right,AF02NES,,,.jpg,Reject,Accept,,,,,,,,,,1,1,1,You have accepted the offer! The money is split as proposed by the Proposer,You have rejected the offer! You both get £0.,,,
practice,na,na,na,<i>The computer says: <br><br> <b>£75</b> for them <br><b>£25</b> for you,right,AC01,,,.jpg,Reject,Accept,,,,,,,,,,1,1,1,You have accepted the offer! The money is split as proposed by the Proposer,You have rejected the offer! You both get £0.,,,
practice,na,na,na,<i>This person says: <br><br> <b>£90</b> for him <br><b>£10</b> for you,right,AM01NES,,,.jpg,Reject,Accept,,,,,,,,,,1,1,1,You have accepted the offer! The money is split as proposed by the Proposer,You have rejected the offer! You both get £0.,,,
practice,na,na,na,<i>This brand says: <br><br> <b>£75</b> for them <br><b>£25</b> for you,right,AB02,,,.jpg,Reject,Accept,,,,,,,,,,1,1,1,You have accepted the offer! The money is split as proposed by the Proposer,You have rejected the offer! You both get £0.,,,
instructions,na,Start of the First Block,"Now that you practiced with the task you are ready to proceed to the experiment. Please do not overthink your answers and respond to each trial carefully. The current experiment consists of 225 trials, divided into 4 blocks and after each block you will be able to take a brief brake. <br> Make sure you you DO NOT close your browser until you are instructed to do so, in order to avoid loss of data. The completion code will be generated only after you complete the experiment entirely. When you are ready to begin, press the button below.",na,,na,,,na,Begin Experiment,,,,,,,,,,,na,na,,,,,,
test,51,na,na,<i>This person says: <br><br> <b>£90</b> for her <br><b>£10</b> for you,above,AF01NES,,,.jpg,Reject,Accept,,,,,,,,,,1,1,1,You have accepted the offer! The money is split as proposed by the Proposer,You have rejected the offer! You both get £0.,ultimatum,human,1
test,52,na,na,<i>This person says: <br><br> <b>£75</b> for her <br><b>£25</b> for you,above,AF01NES,,,.jpg,Reject,Accept,,,,,,,,,,1,1,1,You have accepted the offer! The money is split as proposed by the Proposer,You have rejected the offer! You both get £0.,ultimatum,human,2
test,53,na,na,<i>This person says: <br><br> <b>£60</b> for her <br><b>£40</b> for you,above,AF01NES,,,.jpg,Reject,Accept,,,,,,,,,,1,1,1,You have accepted the offer! The money is split as proposed by the Proposer,You have rejected the offer! You both get £0.,ultimatum,human,3
test,54,na,na,<i>This person says: <br><br> <b>£90</b> for her <br><b>£10</b> for you,above,AF02NES,,,.jpg,Reject,Accept,,,,,,,,,,1,1,1,You have accepted the offer! The money is split as proposed by the Proposer,You have rejected the offer! You both get £0.,ultimatum,human,1
test,55,na,na,<i>This person says: <br><br> <b>£75</b> for her <br><b>£25</b> for you,above,AF02NES,,,.jpg,Reject,Accept,,,,,,,,,,1,1,1,You have accepted the offer! The money is split as proposed by the Proposer,You have rejected the offer! You both get £0.,ultimatum,human,2
test,56,na,na,<i>This person says: <br><br> <b>£60</b> for her <br><b>£40</b> for you,above,AF02NES,,,.jpg,Reject,Accept,,,,,,,,,,1,1,1,You have accepted the offer! The money is split as proposed by the Proposer,You have rejected the offer! You both get £0.,ultimatum,human,3
test,57,na,na,<i>This person says: <br><br> <b>£90</b> for her <br><b>£10</b> for you,above,AF03NES,,,.jpg,Reject,Accept,,,,,,,,,,1,1,1,You have accepted the offer! The money is split as proposed by the Proposer,You have rejected the offer! You both get £0.,ultimatum,human,1
test,58,na,na,<i>This person says: <br><br> <b>£75</b> for her <br><b>£25</b> for you,above,AF03NES,,,.jpg,Reject,Accept,,,,,,,,,,1,1,1,You have accepted the offer! The money is split as proposed by the Proposer,You have rejected the offer! You both get £0.,ultimatum,human,2
test,59,na,na,<i>This person says: <br><br> <b>£60</b> for her <br><b>£40</b> for you,above,AF03NES,,,.jpg,Reject,Accept,,,,,,,,,,1,1,1,You have accepted the offer! The money is split as proposed by the Proposer,You have rejected the offer! You both get £0.,ultimatum,human,3
test,60,na,na,<i>This person says: <br><br> <b>£90</b> for her <br><b>£10</b> for you,above,AF04NES,,,.jpg,Reject,Accept,,,,,,,,,,1,1,1,You have accepted the offer! The money is split as proposed by the Proposer,You have rejected the offer! You both get £0.,ultimatum,human,1
test,61,na,na,<i>This person says: <br><br> <b>£75</b> for her <br><b>£25</b> for you,above,AF04NES,,,.jpg,Reject,Accept,,,,,,,,,,1,1,1,You have accepted the offer! The money is split as proposed by the Proposer,You have rejected the offer! You both get £0.,ultimatum,human,2
test,62,na,na,<i>This person says: <br><br> <b>£60</b> for her <br><b>£40</b> for you,above,AF04NES,,,.jpg,Reject,Accept,,,,,,,,,,1,1,1,You have accepted the offer! The money is split as proposed by the Proposer,You have rejected the offer! You both get £0.,ultimatum,human,3
test,63,na,na,<i>This person says: <br><br> <b>£90</b> for him <br><b>£10</b> for you,above,AM01NES,,,.jpg,Reject,Accept,,,,,,,,,,1,1,1,You have accepted the offer! The money is split as proposed by the Proposer,You have rejected the offer! You both get £0.,ultimatum,human,1
test,64,na,na,<i>This person says: <br><br> <b>£75</b> for him <br><b>£25</b> for you,above,AM01NES,,,.jpg,Reject,Accept,,,,,,,,,,1,1,1,You have accepted the offer! The money is split as proposed by the Proposer,You have rejected the offer! You both get £0.,ultimatum,human,2
test,65,na,na,<i>This person says: <br><br> <b>£60</b> for him <br><b>£40</b> for you,above,AM01NES,,,.jpg,Reject,Accept,,,,,,,,,,1,1,1,You have accepted the offer! The money is split as proposed by the Proposer,You have rejected the offer! You both get £0.,ultimatum,human,3
test,66,na,na,<i>This person says: <br><br> <b>£90</b> for him <br><b>£10</b> for you,above,AM02NES,,,.jpg,Reject,Accept,,,,,,,,,,1,1,1,You have accepted the offer! The money is split as proposed by the Proposer,You have rejected the offer! You both get £0.,ultimatum,human,1
test,67,na,na,<i>This person says: <br><br> <b>£75</b> for him <br><b>£25</b> for you,above,AM02NES,,,.jpg,Reject,Accept,,,,,,,,,,1,1,1,You have accepted the offer! The money is split as proposed by the Proposer,You have rejected the offer! You both get £0.,ultimatum,human,2
test,68,na,na,<i>This person says: <br><br> <b>£60</b> for him <br><b>£40</b> for you,above,AM02NES,,,.jpg,Reject,Accept,,,,,,,,,,1,1,1,You have accepted the offer! The money is split as proposed by the Proposer,You have rejected the offer! You both get £0.,ultimatum,human,3
test,69,na,na,<i>This person says: <br><br> <b>£90</b> for him <br><b>£10</b> for you,above,AM03NES,,,.jpg,Reject,Accept,,,,,,,,,,1,1,1,You have accepted the offer! The money is split as proposed by the Proposer,You have rejected the offer! You both get £0.,ultimatum,human,1
test,70,na,na,<i>This person says: <br><br> <b>£75</b> for him <br><b>£25</b> for you,above,AM03NES,,,.jpg,Reject,Accept,,,,,,,,,,1,1,1,You have accepted the offer! The money is split as proposed by the Proposer,You have rejected the offer! You both get £0.,ultimatum,human,2
test,71,na,na,<i>This person says: <br><br> <b>£60</b> for him <br><b>£40</b> for you,above,AM03NES,,,.jpg,Reject,Accept,,,,,,,,,,1,1,1,You have accepted the offer! The money is split as proposed by the Proposer,You have rejected the offer! You both get £0.,ultimatum,human,3
test,72,na,na,<i>This brand says: <br><br> <b>£90</b> for them <br><b>£10</b> for you,above,AB01,,,.jpg,Reject,Accept,,,,,,,,,,1,1,1,You have accepted the offer! The money is split as proposed by the Proposer,You have rejected the offer! You both get £0.,ultimatum,brand,1
test,73,na,na,<i>This brand says: <br><br> <b>£75</b> for them <br><b>£25</b> for you,above,AB01,,,.jpg,Reject,Accept,,,,,,,,,,1,1,1,You have accepted the offer! The money is split as proposed by the Proposer,You have rejected the offer! You both get £0.,ultimatum,brand,2
test,74,na,na,<i>This brand says: <br><br> <b>£60</b> for them <br><b>£40</b> for you,above,AB01,,,.jpg,Reject,Accept,,,,,,,,,,1,1,1,You have accepted the offer! The money is split as proposed by the Proposer,You have rejected the offer! You both get £0.,ultimatum,brand,3
test,75,na,na,<i>This brand says: <br><br> <b>£90</b> for them <br><b>£10</b> for you,above,AB02,,,.jpg,Reject,Accept,,,,,,,,,,1,1,1,You have accepted the offer! The money is split as proposed by the Proposer,You have rejected the offer! You both get £0.,ultimatum,brand,1
test,76,na,na,<i>This brand says: <br><br> <b>£75</b> for them <br><b>£25</b> for you,above,AB02,,,.jpg,Reject,Accept,,,,,,,,,,1,1,1,You have accepted the offer! The money is split as proposed by the Proposer,You have rejected the offer! You both get £0.,ultimatum,brand,2
test,77,na,na,<i>This brand says: <br><br> <b>£60</b> for them <br><b>£40</b> for you,above,AB02,,,.jpg,Reject,Accept,,,,,,,,,,1,1,1,You have accepted the offer! The money is split as proposed by the Proposer,You have rejected the offer! You both get £0.,ultimatum,brand,3
test,78,na,na,<i>This brand says: <br><br> <b>£90</b> for them <br><b>£10</b> for you,above,AB03,,,.jpg,Reject,Accept,,,,,,,,,,1,1,1,You have accepted the offer! The money is split as proposed by the Proposer,You have rejected the offer! You both get £0.,ultimatum,brand,1
test,79,na,na,<i>This brand says: <br><br> <b>£75</b> for them <br><b>£25</b> for you,above,AB03,,,.jpg,Reject,Accept,,,,,,,,,,1,1,1,You have accepted the offer! The money is split as proposed by the Proposer,You have rejected the offer! You both get £0.,ultimatum,brand,2
test,80,na,na,<i>This brand says: <br><br> <b>£60</b> for them <br><b>£40</b> for you,above,AB03,,,.jpg,Reject,Accept,,,,,,,,,,1,1,1,You have accepted the offer! The money is split as proposed by the Proposer,You have rejected the offer! You both get £0.,ultimatum,brand,3
test,81,na,na,<i>This brand says: <br><br> <b>£90</b> for them <br><b>£10</b> for you,above,AB04,,,.jpg,Reject,Accept,,,,,,,,,,1,1,1,You have accepted the offer! The money is split as proposed by the Proposer,You have rejected the offer! You both get £0.,ultimatum,brand,1
test,82,na,na,<i>This brand says: <br><br> <b>£75</b> for them <br><b>£25</b> for you,above,AB04,,,.jpg,Reject,Accept,,,,,,,,,,1,1,1,You have accepted the offer! The money is split as proposed by the Proposer,You have rejected the offer! You both get £0.,ultimatum,brand,2
test,83,na,na,<i>This brand says: <br><br> <b>£60</b> for them <br><b>£40</b> for you,above,AB04,,,.jpg,Reject,Accept,,,,,,,,,,1,1,1,You have accepted the offer! The money is split as proposed by the Proposer,You have rejected the offer! You both get £0.,ultimatum,brand,3
test,84,na,na,<i>This brand says: <br><br> <b>£90</b> for them <br><b>£10</b> for you,above,AB05,,,.jpg,Reject,Accept,,,,,,,,,,1,1,1,You have accepted the offer! The money is split as proposed by the Proposer,You have rejected the offer! You both get £0.,ultimatum,brand,1
test,85,na,na,<i>This brand says: <br><br> <b>£75</b> for them <br><b>£25</b> for you,above,AB05,,,.jpg,Reject,Accept,,,,,,,,,,1,1,1,You have accepted the offer! The money is split as proposed by the Proposer,You have rejected the offer! You both get £0.,ultimatum,brand,2
test,86,na,na,<i>This brand says: <br><br> <b>£60</b> for them <br><b>£40</b> for you,above,AB05,,,.jpg,Reject,Accept,,,,,,,,,,1,1,1,You have accepted the offer! The money is split as proposed by the Proposer,You have rejected the offer! You both get £0.,ultimatum,brand,3
